population,w,c1,c2,best_fitness,x,y,z,time
50,0.2,0.5,1.5,2.0,125.00006390141127,1.2700678149730766,5.613908743627956e-10,2.5552189350128174
50,0.2,0.5,2.0,2.0,124.99992630599986,1.269947663841418,-3.1868218813355216e-09,2.5251882076263428
50,0.2,1.0,2.0,2.0,125.00003590688594,1.2700100346105863,-6.924879902298487e-09,2.5783088207244873
50,0.2,1.5,2.0,2.0,125.00004499745405,1.2700322310375902,8.697480705597013e-09,2.5656940937042236
50,0.2,2.0,1.5,2.0,124.99992162251587,1.2699743642091943,-9.358016828954985e-09,2.6417815685272217
50,0.2,2.0,2.0,2.0,124.99999177099157,1.269897282875419,8.58898888776402e-09,2.5689198970794678
50,0.4,0.5,1.0,2.0,124.99999385592896,1.269893111822221,6.228510057425287e-09,2.586561918258667
50,0.4,0.5,1.5,2.0,124.99989420051101,1.2700096405569814,4.775456173219266e-09,2.538093090057373
50,0.4,0.5,2.0,2.0,124.9999267803752,1.2700318552838694,-4.805924923485101e-09,2.549315929412842
50,0.4,1.0,1.0,2.0,125.00002618238648,1.2699593726627556,1.332028055843106e-09,2.6631181240081787
50,0.4,1.0,2.0,2.0,124.99999737717593,1.269899432212517,5.883733144393335e-09,2.537648916244507
50,0.4,1.5,1.0,2.0,125.00007089032968,1.2699284550071168,5.394104362565235e-09,2.6308419704437256
50,0.4,1.5,1.5,2.0,125.00002363313891,1.269895619945702,6.332321721694364e-09,2.607963800430298
50,0.4,1.5,2.0,2.0,124.99990369211493,1.2699806053081961,-1.0031821036737936e-08,2.6278860569000244
50,0.4,2.0,1.5,2.0,125.00008712087681,1.269972719851556,5.716277937092949e-09,2.609744071960449
50,0.4,2.0,2.0,2.0,125.00000683322263,1.2699196111381317,-7.4046082585960915e-09,2.702847957611084
50,0.6,0.5,1.0,2.0,124.9999648896644,1.2700503388759623,-4.7394311644608984e-09,2.5682780742645264
50,0.6,0.5,1.5,2.0,124.99998801307726,1.2700018604929648,4.217875161225934e-09,2.5413765907287598
50,0.6,0.5,2.0,2.0,125.00010489143449,1.2699909622520935,-9.621441441914826e-09,2.5738720893859863
50,0.6,1.0,1.0,2.0,125.00001988186808,1.2700979157870358,-7.583372378699898e-09,2.6498920917510986
50,0.6,1.0,1.5,2.0,125.00001340262102,1.270087671248066,5.345211242262431e-10,2.5606043338775635
50,0.6,1.0,2.0,2.0,125.0000222188119,1.270085315187972,-9.000327114589065e-09,2.5662431716918945
50,0.6,1.5,1.0,2.0,125.00006354282985,1.2699211126969732,3.066478245815502e-09,2.636075973510742
50,0.6,1.5,1.5,2.0,125.00006636324717,1.2699386447373775,4.237257673382964e-09,2.6343297958374023
50,0.6,1.5,2.0,2.0,125.0000762389413,1.2700599121259335,-1.018790284358686e-08,2.5881876945495605
50,0.6,2.0,1.0,2.0,125.00004622529246,1.270071285405527,2.4172644480914083e-09,2.6271870136260986
50,0.6,2.0,1.5,2.0,125.00005956014495,1.2699723266844523,7.507642506804499e-09,2.5919291973114014
50,0.6,2.0,2.0,2.0,125.00009092781823,1.2699930293625665,-8.127030786328429e-09,2.632930040359497
50,0.7,0.5,1.0,2.0,125.00007578033517,1.269934071920271,-7.584738370289407e-09,2.606173038482666
50,0.7,0.5,1.5,2.0,124.99989595425866,1.2699981973288232,-3.509102903273192e-09,2.686683177947998
50,0.7,0.5,2.0,2.0,125.00010455576566,1.2700240834936607,1.5724995842279078e-09,2.6282970905303955
50,0.7,1.0,1.0,2.0,124.99999955546954,1.2700980786580625,-1.6537759542726782e-09,2.686904191970825
50,0.7,1.0,1.5,2.0,125.00003053852521,1.2700320179659659,-1.0152477275288473e-08,2.6328179836273193
50,0.7,1.0,2.0,2.0,124.99993718739715,1.2699905471151154,6.544300434810002e-09,2.5835180282592773
50,0.7,1.5,0.5,2.0,124.99991480559343,1.2699447286255865,-6.13497508039695e-09,2.7257189750671387
50,0.7,1.5,1.0,2.0,124.99997399057418,1.2700662701946646,-9.754901472927474e-09,2.6375410556793213
50,0.7,1.5,1.5,2.0,124.99989496813285,1.2699798163601377,4.960603043368232e-09,2.592092990875244
50,0.7,1.5,2.0,2.0,125.00007979656098,1.2699399510825553,8.742411171619935e-09,2.569821357727051
50,0.7,2.0,0.5,2.0,124.999998100238,1.2700614996350694,3.315609686900476e-09,2.582211971282959
50,0.7,2.0,1.0,2.0,124.99999045627412,1.270016230772134,-8.21157672096651e-09,2.6151978969573975
50,0.7,2.0,1.5,2.0,125.00006576945836,1.2700230992758967,-7.471785721788905e-09,2.6000261306762695
50,0.7,2.0,2.0,2.0,125.00008532466522,1.269965221034343,-9.055710587307425e-09,2.634531259536743
50,0.8,0.5,0.5,2.0,124.99991186182153,1.2699483744627649,-2.655511656310291e-09,2.567631721496582
50,0.8,0.5,1.0,2.0,125.00000815100346,1.2701053644439604,1.0378950151523254e-09,2.538461923599243
50,0.8,0.5,1.5,2.0,124.99999167408579,1.2700282378362235,-2.0002280512035284e-09,2.551888942718506
50,0.8,0.5,2.0,2.0,124.99996488246067,1.2700986092132145,-9.892142144434343e-09,2.6930787563323975
50,0.8,1.0,0.5,2.0,124.99990833080999,1.269958280485544,-1.0035702848014176e-08,2.63897705078125
50,0.8,1.0,1.0,2.0,124.99992388970392,1.2699392389043176,-9.791540502734355e-09,2.609204053878784
50,0.8,1.0,1.5,2.0,124.9999881299482,1.2699551095614017,9.350288258429556e-09,2.587261199951172
50,0.8,1.0,2.0,2.0,124.99994302169259,1.2700759455057142,1.4758544411338913e-09,2.620728015899658
50,0.8,1.5,0.5,2.0,125.0000221110515,1.2700984980370293,-8.861426915422069e-10,2.6067209243774414
50,0.8,1.5,1.0,2.0,124.99998248569104,1.2699386127429682,-7.914326411357579e-09,2.6382999420166016
50,0.8,1.5,1.5,2.0,124.99992905134546,1.2700217674486391,1.5385801494190635e-09,2.616441011428833
50,0.8,1.5,2.0,2.0,124.99997877257772,1.2700838321119434,-3.1387287901230354e-09,2.630504846572876
50,0.8,2.0,0.5,2.0,124.99990005592593,1.2699705587583896,1.075809094726232e-09,2.6094536781311035
50,0.8,2.0,1.0,2.0,125.00001677974521,1.2698986293372583,9.705937575808465e-09,2.618088960647583
50,0.8,2.0,1.5,2.0,124.99998235392552,1.2699520926273864,-8.75040883638805e-09,2.6077518463134766
50,0.8,2.0,2.0,2.0,125.00005525855276,1.2700748947712623,9.991280967360606e-09,2.599576950073242
50,0.9,0.5,0.5,2.0,124.9999675733527,1.2698992736110737,-4.58473101590589e-09,2.5639231204986572
50,0.9,0.5,1.0,2.0,124.9999716010022,1.2700963555837224,-4.505419821847582e-09,2.57685923576355
50,0.9,0.5,1.5,2.0,125.00000389655695,1.2700378997046557,1.0343404783280951e-08,2.567405939102173
50,0.9,1.0,0.5,2.0,125.0000392304681,1.2699006171480933,-3.969610759147335e-09,2.615111827850342
50,0.9,1.0,1.0,2.0,125.00006264367346,1.2699697453810523,-6.765544345320281e-09,2.595522165298462
50,0.9,1.0,1.5,2.0,125.00005161369258,1.2700392265695248,9.31480973260541e-09,2.5561630725860596
50,0.9,1.5,0.5,2.0,124.99993493716352,1.2699498451521956,-6.746956803198563e-09,2.6178460121154785
50,0.9,1.5,1.0,2.0,125.00001900332315,1.2699330826950612,-9.082202240814822e-10,2.6258530616760254
50,0.9,1.5,1.5,2.0,124.99998638757549,1.2699541398171759,3.053330763482299e-09,2.6091949939727783
50,0.4,1.0,1.5,1.9999999999999996,125.0000036316302,1.2698528294373328,-4.947117979441188e-09,2.6276140213012695
50,0.2,1.5,1.5,1.9999999999999993,125.00001139136224,1.2698449021919291,-5.667044609617934e-09,2.639410972595215
50,0.7,0.5,0.5,1.9999999999999991,125.00016981044631,1.2699940706714394,8.776560472254255e-09,2.619866132736206
50,0.4,2.0,1.0,1.9999999999999978,125.00001813465454,1.2702086237978774,-4.948601439230174e-09,2.6453192234039307
50,0.2,1.0,1.5,1.9999999999999956,124.9998542378145,1.2699744857568878,-4.5257998271132586e-08,2.6293230056762695
50,0.9,0.5,2.0,1.999999999999979,124.99988241012042,1.2697686358969273,8.864331311030643e-08,2.5713651180267334
50,0.2,0.5,1.0,1.9999999999995368,124.99922751946082,1.2701269562349242,-2.815528298579023e-09,2.6465749740600586
50,0.9,2.0,0.5,1.9999999999394227,125.00008528349106,1.2726453562498645,-1.3478835853034223e-07,2.9303431510925293
50,0.7,1.0,0.5,1.9999999998909024,125.00002544444725,1.266933754301443,-1.222287013150605e-07,2.9320549964904785
50,0.6,2.0,0.5,1.9999999996589994,124.9959931928844,1.2692646832106926,7.87064327743929e-07,2.614029884338379
50,0.2,1.0,1.0,1.9999999976007699,124.9936793736716,1.2679646193866128,5.78348916668063e-07,2.6364316940307617
50,0.2,2.0,1.0,1.9999999966455237,125.00146378943177,1.2770614054431155,-2.9802880678140322e-06,2.6694579124450684
50,0.9,1.0,2.0,1.999999993647554,125.00181530154701,1.2781755948107503,-1.191339673887017e-05,2.5936639308929443
50,0.9,2.0,1.0,1.9999999749551698,124.99035077546071,1.2769911934813034,-9.326999648629972e-06,2.646986961364746
50,0.6,0.5,0.5,1.999999188727381,124.97845919025784,1.288619744191228,-1.4824799775363224e-05,2.609727144241333
50,0.9,1.5,2.0,1.9999794372802266,125.03073174793764,1.215349893840104,0.0008654603208419062,2.74497389793396
50,0.2,1.5,1.0,1.9999718252036673,125.00135100733966,1.3390750817891595,-0.000183286531752466,2.740053415298462
50,0.9,2.0,1.5,1.9998126710012472,125.02209553683691,1.1981677978530199,0.008601956492457541,2.603977918624878
50,0.9,2.0,2.0,1.9873541201011862,124.9182954514036,1.1564264245997595,-0.07826460689850379,2.623164176940918
50,0.6,1.5,0.5,1.9555374277267488,125.3978986184341,1.434830613708631,-0.03612771401213507,2.6016509532928467
