population,w,c1,c2,best_fitness,x,y,z,time
100,0.2,0.5,2.0,2.0,125.00000061662773,1.2701022818656371,-4.924303951125695e-09,4.8830389976501465
100,0.2,1.0,2.0,2.0,125.00000414889438,1.2701005062873194,3.7356165696818665e-09,4.93393874168396
100,0.2,1.5,1.5,2.0,124.99996053735023,1.269934659415618,2.1387351268755383e-09,5.70398473739624
100,0.2,1.5,2.0,2.0,125.00008482313454,1.2699826756599806,1.5775433938331429e-09,5.510993957519531
100,0.2,2.0,1.5,2.0,125.00000197577293,1.2699300483133387,-6.180652785860247e-09,5.6169960498809814
100,0.2,2.0,2.0,2.0,124.99997881099858,1.2700068471337185,5.361245579468626e-09,5.039613962173462
100,0.4,0.5,2.0,2.0,125.00007223691082,1.2700092783204289,7.274591932350592e-09,4.8573689460754395
100,0.4,1.0,1.0,2.0,124.99999696701457,1.2700270030070293,7.477555094455185e-10,5.074090957641602
100,0.4,1.0,1.5,2.0,124.99989349314873,1.2699890360526007,9.648307720576391e-09,4.982821941375732
100,0.4,1.0,2.0,2.0,124.99998229637686,1.2700948928750166,3.500381216818389e-09,4.964752197265625
100,0.4,1.5,1.5,2.0,125.0000232778461,1.2700881737130563,-6.578773541749347e-09,5.041592836380005
100,0.4,1.5,2.0,2.0,125.0000945989988,1.269950513711722,2.520710264852775e-09,5.115995168685913
100,0.4,2.0,1.0,2.0,124.99994512509132,1.2699357412340133,-7.853309436636955e-09,5.037806034088135
100,0.4,2.0,1.5,2.0,124.99996400852804,1.270033003288135,-8.43695418158378e-09,5.053882837295532
100,0.4,2.0,2.0,2.0,125.00003100098044,1.2700687367393524,-5.835871653215115e-09,5.084762096405029
100,0.6,0.5,1.0,2.0,125.00008707978688,1.2699706852259887,-3.778469468039364e-10,4.913719177246094
100,0.6,0.5,1.5,2.0,124.99995734971995,1.2699181208596535,2.3502942457259246e-10,4.926384925842285
100,0.6,0.5,2.0,2.0,124.9999680349519,1.2699884761375935,1.3112096662458503e-09,4.911766052246094
100,0.6,1.0,0.5,2.0,125.00007221782161,1.270079012795893,-1.0009484633253965e-08,4.98845911026001
100,0.6,1.0,1.0,2.0,125.00006274930222,1.2700434650180887,7.3409004173966215e-09,4.99704909324646
100,0.6,1.0,1.5,2.0,124.99997225590899,1.270103219655302,6.834812409111355e-09,5.152921199798584
100,0.6,1.0,2.0,2.0,124.99996279475539,1.2700415294285436,5.954835399373943e-09,4.981110095977783
100,0.6,1.5,1.0,2.0,124.99989535947184,1.269991483941039,-1.0041923452246425e-08,5.047855854034424
