epoch,train_loss,train_acc,test_loss,test_acc,elapsed_s
1,0.7891934944709142,0.7337333333333333,0.5497473207950592,0.802,10.88
2,0.4769065492709478,0.8274833333333333,0.4624392921447754,0.8343,18.61
3,0.42650891700585686,0.8455333333333334,0.44095782804489136,0.8436,26.63
4,0.3963064567724864,0.8572,0.42166328284740445,0.8477,34.61
5,0.375772834722201,0.8641166666666666,0.4117732244491577,0.8516,42.42
