preprocessing,normalize,epoch1_test_acc,epoch2_test_acc,epoch3_test_acc,epoch1_train_loss,epoch2_train_loss,epoch3_train_loss,final_test_acc
ToTensor only,False,0.758,0.808,0.8188,1.078516766389211,0.5806767962296804,0.49843276557127636,0.8188
"Normalize(0.5,0.5)",True,0.8051,0.8247,0.8395,0.7911206608057022,0.4776637679894765,0.42659369114637374,0.8395
