dataset,noise_rate,subsample_size,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,0.0,50,42,0.656572000025335,1.0,1.0,1.0,1.0,1.0,1.0,4,5,9,0.16666666666666666,0.0
iris,0.0,100,42,0.6665260002591822,1.0,1.0,0.9666666666666667,1.0,1.0,0.9665831244778613,5,7,13,0.125,0.033333333333333326
iris,0.0,50,7,0.6383100003404252,1.0,1.0,0.8666666666666667,1.0,1.0,0.8611111111111112,2,3,5,0.25,0.1333333333333333
iris,0.0,100,7,0.6584570000995882,1.0,1.0,0.9,1.0,1.0,0.899749373433584,4,6,11,0.14285714285714285,0.09999999999999998
iris,0.1,50,42,0.6571220001205802,1.0,0.7,0.7,1.0,0.6944444444444443,0.6977709975421647,4,8,15,0.1111111111111111,0.30000000000000004
iris,0.1,100,42,0.7487970001420763,0.9875,0.75,0.7333333333333333,0.9870598482020654,0.7521367521367521,0.7354497354497354,7,18,35,0.05263157894736842,0.25416666666666676
iris,0.1,50,7,0.8085919998848112,1.0,0.7,0.6666666666666666,1.0,0.669047619047619,0.6579365079365079,5,7,13,0.125,0.33333333333333337
iris,0.1,100,7,0.710906999756844,1.0,0.65,0.7666666666666667,1.0,0.6444444444444444,0.7678362573099414,6,20,39,0.047619047619047616,0.23333333333333328
