dataset,dataset_total,subsample_size,strategy,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,150,50,none,42,0.6740520002495032,1.0,1.0,1.0,1.0,1.0,1.0,4,5,9,0.16666666666666666,0.0
iris,150,50,pre_depth,42,0.6241329997465073,0.95,0.9,0.9333333333333333,0.9505494505494506,0.8962962962962964,0.9326599326599326,2,3,5,0.25,0.016666666666666607
iris,150,50,pre_samples,42,0.6187839999256539,0.95,0.9,0.9333333333333333,0.9505494505494506,0.8962962962962964,0.9326599326599326,2,3,5,0.25,0.016666666666666607
iris,150,50,ccp,42,0.6504379998659715,0.975,1.0,1.0,0.9751724137931035,1.0,1.0,3,4,7,0.2,-0.025000000000000022
iris,150,50,combined,42,0.6888110001455061,0.975,1.0,1.0,0.9751724137931035,1.0,1.0,3,4,7,0.2,-0.025000000000000022
iris,150,100,none,42,0.6636469997829408,1.0,1.0,0.9666666666666667,1.0,1.0,0.9665831244778613,5,7,13,0.125,0.033333333333333326
iris,150,100,pre_depth,42,0.6374969998432789,0.9875,1.0,0.9666666666666667,0.9876500857632934,1.0,0.9665831244778613,3,5,9,0.16666666666666666,0.02083333333333337
iris,150,100,pre_samples,42,0.6160770003589278,1.0,1.0,0.9666666666666667,1.0,1.0,0.9665831244778613,5,7,13,0.125,0.033333333333333326
iris,150,100,ccp,42,0.6237100001271756,1.0,1.0,0.9666666666666667,1.0,1.0,0.9665831244778613,5,7,13,0.125,0.033333333333333326
iris,150,100,combined,42,0.6491770000138786,0.9875,1.0,0.9666666666666667,0.9876500857632934,1.0,0.9665831244778613,3,5,9,0.16666666666666666,0.02083333333333337
iris,150,50,none,7,0.6482380003944854,1.0,1.0,0.8666666666666667,1.0,1.0,0.8611111111111112,2,3,5,0.25,0.1333333333333333
iris,150,50,pre_depth,7,0.6065970001145615,1.0,1.0,0.8666666666666667,1.0,1.0,0.8611111111111112,2,3,5,0.25,0.1333333333333333
iris,150,50,pre_samples,7,0.6176159999995434,1.0,1.0,0.8666666666666667,1.0,1.0,0.8611111111111112,2,3,5,0.25,0.1333333333333333
iris,150,50,ccp,7,0.6024679996698978,1.0,1.0,0.8666666666666667,1.0,1.0,0.8611111111111112,2,3,5,0.25,0.1333333333333333
iris,150,50,combined,7,0.604662000114331,1.0,1.0,0.8666666666666667,1.0,1.0,0.8611111111111112,2,3,5,0.25,0.1333333333333333
iris,150,100,none,7,0.6685140001536638,1.0,1.0,0.9,1.0,1.0,0.899749373433584,4,6,11,0.14285714285714285,0.09999999999999998
iris,150,100,pre_depth,7,1.1275219999333785,0.9875,1.0,0.9333333333333333,0.9874034462269757,1.0,0.9326599326599326,3,5,9,0.16666666666666666,0.054166666666666696
iris,150,100,pre_samples,7,0.6457569998019608,0.9875,1.0,0.9333333333333333,0.9874034462269757,1.0,0.9326599326599326,3,5,9,0.16666666666666666,0.054166666666666696
iris,150,100,ccp,7,1.5691910002715304,0.975,0.9,0.9,0.9748338081671415,0.9027777777777778,0.899749373433584,2,3,5,0.25,0.07499999999999996
iris,150,100,combined,7,7.9793239997343335,0.975,0.9,0.9,0.9748338081671415,0.9027777777777778,0.899749373433584,2,3,5,0.25,0.07499999999999996
