dataset,noise_rate,max_depth,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,0.0,1,42,0.6866449998597091,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,3,42,1.1023639999621082,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,5,42,0.6823700000495592,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,1,7,0.6699129999105935,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,3,7,0.6710060001751117,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,5,7,0.7242990000122518,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.1,1,42,0.70414299989352,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,0.1,3,42,0.7155449998208496,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,0.1,5,42,0.6980389998716419,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,0.1,1,7,0.7282589999704214,1.0,0.7333333333333333,0.6,1.0,0.738218094255246,0.6019426289034132,7,20,39,0.047619047619047616,0.4
iris,0.1,3,7,0.7274919998963014,1.0,0.7333333333333333,0.6,1.0,0.738218094255246,0.6019426289034132,7,20,39,0.047619047619047616,0.4
iris,0.1,5,7,0.7185179997577507,1.0,0.7333333333333333,0.6,1.0,0.738218094255246,0.6019426289034132,7,20,39,0.047619047619047616,0.4
