representation,generation,best_min_mean,best_min_std,best_min_min
float,0,13.37473017256129,4.816711349762681,4.356673138274576
float,1,11.153871275399442,5.607487189260427,4.356673138274576
float,2,7.816862614360929,4.778653435140116,2.358441310501031
float,3,4.420735286844792,1.3539058957768708,2.358441310501031
float,4,4.100937432698826,1.2163280665964489,2.206049215268136
float,5,3.714510836329552,0.8440588044986694,2.206049215268136
float,6,3.42901945158849,0.794674889496324,2.1740588330979405
float,7,3.266416709269342,0.8957038900353149,1.9445948656763175
float,8,3.2481580505149568,0.8820799211976713,1.9445948656763175
float,9,3.1828690499570094,0.8534715757237269,1.8945841407422885
float,10,3.160709948347459,0.8787252436824281,1.7994791551439466
float,11,3.0400502890500505,0.8935703263538284,1.7156266499938224
float,12,2.9914255200692086,0.8602554924155316,1.7156266499938224
float,13,2.9245087261833707,0.9008814500714436,1.54474124961204
float,14,2.8399788369080166,0.8559012714402696,1.54474124961204
float,15,2.7897906963295687,0.8546183241232838,1.4855896049684876
float,16,2.7484560949754937,0.8658900752908898,1.4621137006115361
float,17,2.661147787677027,0.8507109255879687,1.3452329010602253
float,18,2.6162668376248894,0.8574521877156378,1.2812390067302704
float,19,2.540130579107038,0.8293442279898211,1.2249060222490868
float,20,2.440925166815755,0.9043969695628059,0.9560067500455338
float,21,2.381413525223459,0.9286874982922273,0.8193676756616133
float,22,2.3238184488948908,0.931585051284934,0.8193676756616133
float,23,2.231485812218953,0.8968567010559299,0.7937408588556256
float,24,2.176946688410113,0.9328956019650232,0.6277843964111882
float,25,2.160843339635855,0.9282792523366672,0.6277843964111882
float,26,2.0798301401398054,0.9195303758748233,0.6205457171996371
float,27,2.0247016355255134,0.8851808065775586,0.5859129603848099
float,28,1.98802644418535,0.891136689984222,0.5626003413054743
float,29,1.9376863551268155,0.8697885252564722,0.550119820419049
float,30,1.8901567005804982,0.8476785785213724,0.5160744642588639
float,31,1.8446407362530841,0.8287171528064838,0.5160744642588639
float,32,1.7831781347062492,0.8283973780845825,0.5144813191423578
float,33,1.7392469678044893,0.8221752907039267,0.51220936453084
float,34,1.6626900905355477,0.7598265309852926,0.5109240272342684
float,35,1.610792022111178,0.7401600443676016,0.5106462200306613
float,36,1.5564163481553124,0.7071974493196937,0.5106462200306613
float,37,1.536739272180529,0.704586273398707,0.5041043309926536
float,38,1.4585222353623177,0.6572310510771049,0.5041043309926536
float,39,1.3997612024127624,0.6354529680969958,0.5041043309926536
float,40,1.3382409792353507,0.6235125177040903,0.5040516560286639
float,41,1.3081506351283574,0.6182417242695357,0.5038157312297863
float,42,1.2056918734694002,0.5619498893192999,0.5026796621478024
float,43,1.1605402124261741,0.5330133742040047,0.5014671264014956
float,44,1.1080165888294977,0.4933418600619457,0.5014671264014956
float,45,1.0924083652172905,0.4859848285638794,0.5014671264014956
float,46,1.0147227147830782,0.4363721682776101,0.5014671264014956
float,47,0.9538972170875235,0.40002851403541745,0.500916694993781
float,48,0.9317845241428634,0.3767748087008221,0.500916694993781
float,49,0.8906382604526548,0.3459562711040552,0.500916694993781
float,50,0.8527227659027101,0.3173333743410231,0.500916694993781
float,51,0.7723423603391935,0.24996399281906337,0.500916694993781
float,52,0.7451041966611743,0.22518143882771458,0.500916694993781
float,53,0.7274075926827525,0.2302733854358537,0.500916694993781
float,54,0.7085424851219462,0.22262601329542475,0.500916694993781
float,55,0.6585854135493173,0.17085318402748176,0.500863501533008
float,56,0.6297879767627805,0.15198751409985237,0.500863501533008
float,57,0.6375013829705156,0.1600760990949491,0.500863501533008
float,58,0.6163320465986871,0.13259799073695785,0.500863501533008
float,59,0.5917653480851246,0.10568177818907565,0.500863501533008
float,60,0.5630253061277065,0.07240741181867208,0.5008628779217708
float,61,0.5454938284865964,0.05485331231853566,0.5006043331656791
float,62,0.5263572647531184,0.03136744112026909,0.5006043331656791
float,63,0.522501220423207,0.027084887048524842,0.5006043331656791
float,64,0.5150021661548262,0.018223560633210633,0.5006043331656791
float,65,0.5149893149945968,0.018233440798993167,0.5006043331656791
float,66,0.508313038918628,0.009074739926365016,0.5006043331656791
float,67,0.5057348713350348,0.00597150658761939,0.5006043331656791
float,68,0.5059118615935196,0.006195555584835197,0.5006043331656791
float,69,0.5036251820179641,0.0037628086388388424,0.5006043331656791
float,70,0.5032952042035348,0.0036876307299672554,0.5006043331656791
float,71,0.5029277233709266,0.003064218276939255,0.5006043331656791
float,72,0.5017661725317227,0.0012305133791425968,0.5006043331656791
float,73,0.5016561219063027,0.0011760943672126337,0.5006043331656791
float,74,0.5015279642496977,0.0012541052915403328,0.5005670800362815
float,75,0.5014173645860143,0.0012362334331954715,0.5005278356097879
float,76,0.5013237340213093,0.0010581120163797057,0.5005278356097879
float,77,0.5013237319842938,0.0010581132852655619,0.5005278356097879
float,78,0.5010994833309299,0.0010024078362464496,0.500294435458252
float,79,0.5008467234931532,0.0006420047765361089,0.5002765795385021
float,80,0.5008066844722202,0.0006286761493654579,0.5002765795385021
float,81,0.5006284816025357,0.00033473316495670133,0.5002765795385021
float,82,0.5006232675576963,0.00032501774165173567,0.5002765795385021
float,83,0.5006220502803302,0.00032449113755909925,0.5002765795385021
float,84,0.5006220502803302,0.00032449113755909925,0.5002765795385021
float,85,0.5006220359909895,0.0003244919190101932,0.5002765795385021
float,86,0.5006217317764425,0.00032392594511542296,0.5002765795385021
float,87,0.5006217317764425,0.00032392594511542296,0.5002765795385021
float,88,0.5006217317764425,0.00032392594511542296,0.5002765795385021
float,89,0.5006217317764425,0.00032392594511542296,0.5002765795385021
float,90,0.5006124009796016,0.00033021048071989764,0.5002765795385021
float,91,0.5006124009796016,0.00033021048071989764,0.5002765795385021
float,92,0.5005810834971545,0.00036605500212209704,0.5001199921262663
float,93,0.5005027153433931,0.00039361105900555856,0.5001199921262663
float,94,0.5005027153433931,0.00039361105900555856,0.5001199921262663
float,95,0.5005027153433931,0.00039361105900555856,0.5001199921262663
float,96,0.5005027153433931,0.00039361105900555856,0.5001199921262663
float,97,0.5005027153433931,0.00039361105900555856,0.5001199921262663
float,98,0.5005027153433931,0.00039361105900555856,0.5001199921262663
float,99,0.5005008337349671,0.0003901645349886497,0.5001199921262663
float,100,0.5005026994132015,0.0003936162918596965,0.5001199921262663
bit,0,15.186599084832526,7.448563961470927,6.789434376298618
bit,1,11.186415811097167,3.9720962519279284,4.6981536522580845
bit,2,8.885823874118667,2.573940911597314,4.698081463539351
bit,3,5.401679578998122,3.1487017997851168,1.4816473347398116
bit,4,4.054461796103508,2.1078174134641876,1.4816473347398116
bit,5,3.724278837300063,2.0588297765402492,1.532612695880163
bit,6,2.8890749963712974,0.9584971733440327,1.5406631749114683
bit,7,2.6095169679020023,0.8953496610726057,1.2618688167196883
bit,8,1.9903188741266375,0.761682142774725,0.9480638087192221
bit,9,1.8670977188309095,0.7481490853583924,0.8971704957294593
bit,10,1.5210064165078179,0.6357525683601349,0.9480638087192221
bit,11,1.5296779636913098,0.6819540300242909,0.9480638087192221
bit,12,1.3370041806077977,0.591707200072172,0.8940258484964302
bit,13,1.2592954867138535,0.6375437472136466,0.7526842400162862
bit,14,1.0947503402389536,0.3792753599083215,0.7434634436633373
bit,15,1.094353504562332,0.37884095212181823,0.7467408656665673
bit,16,1.0894385425781643,0.3800729619778291,0.7467408656665673
bit,17,1.090503300413628,0.3810410246079524,0.7416574655050509
bit,18,1.0096518021861534,0.4141583259042455,0.6007777349192467
bit,19,0.9504422950847466,0.33970155645926015,0.555776358790685
bit,20,0.9133922551010247,0.3583995207641106,0.5711322676032373
bit,21,0.8600638382631198,0.28608770862847277,0.5674974095395685
bit,22,0.8669938669303822,0.29659325570417483,0.5669395209063351
bit,23,0.8560106884853733,0.28784648740611574,0.5674974095395685
bit,24,0.8517580629077667,0.29108786424531213,0.5569594023898949
bit,25,0.847056576908156,0.291287574374108,0.5500162819493385
bit,26,0.8449184057495241,0.2941787459985371,0.5502005664225089
bit,27,0.8464325975233823,0.2923813102464614,0.5555094922824722
bit,28,0.8233882420067827,0.26500793214396107,0.5520732681783238
bit,29,0.8206506309352501,0.2615134786009171,0.5520732681783238
bit,30,0.8142187679320495,0.27288773846305264,0.5132763578431854
bit,31,0.8062242714382695,0.27647369191482013,0.5132763578431854
bit,32,0.8032638224067823,0.27696658877892294,0.505961823996741
bit,33,0.8022805936209041,0.2762905325452712,0.5057186605886511
bit,34,0.8018704260354224,0.27837709447415065,0.5055987395002586
bit,35,0.8018956599196698,0.27836882829878445,0.5028236548980332
bit,36,0.8014489770136686,0.2780236953639619,0.5030204676798243
bit,37,0.8016639911277574,0.278590195714679,0.5028344810507703
bit,38,0.8013004454321802,0.27816719004011997,0.5028344810507703
bit,39,0.8012820831662552,0.27815437675462573,0.5028168041589174
bit,40,0.8008634541385286,0.27773596568173725,0.5026851581990381
bit,41,0.8008628870550292,0.27773604988873796,0.5026851581990381
bit,42,0.8007814092784125,0.27764729805039934,0.5026778217705603
bit,43,0.8005895914716847,0.2778445302515744,0.5026465355038253
bit,44,0.800588431020075,0.2778453762373925,0.5026465355038253
bit,45,0.8005859649218834,0.2778472872372912,0.5026465355038253
bit,46,0.8005820328601694,0.2778512936078489,0.5026465342746914
bit,47,0.8005609522768266,0.27783022038920346,0.5026395876686712
bit,48,0.8005592389024956,0.27783128774790844,0.5026390855193091
bit,49,0.8003766068728912,0.2778108460484147,0.5022099225189108
bit,50,0.8003649335970762,0.2778235544095683,0.5021627771253212
bit,51,0.800271445168461,0.27775370506360864,0.5021627771253212
bit,52,0.8002681329958724,0.2777571433487509,0.5021590962664194
bit,53,0.8002473860945971,0.27773657291112436,0.5021590618017313
bit,54,0.8002451963797675,0.27773510946477187,0.5021590618017313
bit,55,0.800243811893829,0.27773551449621625,0.5021581661089887
bit,56,0.8002426327818659,0.2777351351311448,0.5021581661089887
bit,57,0.8002397110299866,0.2777377765790805,0.5021556109910441
bit,58,0.8002395501143689,0.2777379492330964,0.5021548067009678
bit,59,0.8002387565184848,0.2777370865437252,0.5021548067009678
bit,60,0.8002384566976876,0.27773740768689026,0.502153370851488
bit,61,0.8002357470287293,0.27774003188254537,0.5021414572287742
bit,62,0.8002350694542384,0.2777407353059338,0.5021407097979934
bit,63,0.8002348708832067,0.27774093392850047,0.5021398630752092
bit,64,0.8002342955005182,0.2777415420821761,0.5021380085609174
bit,65,0.8002339071344695,0.2777413790055716,0.5021373601236491
bit,66,0.800233882851787,0.27774139946724125,0.5021373564659984
bit,67,0.8002337377809393,0.27774138318067,0.5021373564659984
bit,68,0.8002335081771236,0.27774111702389237,0.5021373512878098
bit,69,0.800233399631314,0.27774122867750717,0.5021373463326148
bit,70,0.8002333965357916,0.2777412317957414,0.5021373461813581
bit,71,0.8002325676209197,0.27774207549579655,0.5021373461813581
bit,72,0.8002325675589589,0.2777420755595065,0.5021373461813581
bit,73,0.8002325673050159,0.2777420758207702,0.5021373449791442
bit,74,0.8002323671408336,0.2777422813283174,0.502137340451137
bit,75,0.8002322870895935,0.2777423616034423,0.502137340451137
bit,76,0.8002320992754045,0.2777425575469098,0.502136413940809
bit,77,0.8002320994897723,0.27774255731683306,0.5021364150126476
bit,78,0.800232094499662,0.27774256208361553,0.5021364150126476
bit,79,0.8002320924775882,0.27774256235825084,0.5021364091286722
bit,80,0.8002320923012288,0.27774256218227056,0.5021364091286722
bit,81,0.8002320880487487,0.277742566503739,0.5021364079264606
bit,82,0.8002320879890735,0.27774256656778706,0.5021364076280853
bit,83,0.8002320879538581,0.27774256660399665,0.5021364076280853
bit,84,0.8002320867467134,0.277742565647124,0.5021364076280853
bit,85,0.8002320785815558,0.27774257404279057,0.5021364076280853
bit,86,0.800232078042393,0.2777425745971743,0.5021364076280853
bit,87,0.800232078042393,0.2777425745971743,0.5021364076280853
bit,88,0.8002320777726549,0.27774257434614325,0.5021364074854776
bit,89,0.8002320768700688,0.27774257531487123,0.5021364029725469
bit,90,0.800232076761319,0.2777425751882435,0.5021364029725469
bit,91,0.8002320767125288,0.27774257523841106,0.5021364029725469
bit,92,0.8002320766836168,0.2777425752691152,0.5021364028299392
bit,93,0.8002320766828245,0.27774257526818863,0.5021364028299392
bit,94,0.8002320765479094,0.2777425752837254,0.5021364028299392
bit,95,0.8002320759837327,0.2777425758638295,0.5021364028299392
bit,96,0.8002320759419147,0.277742575908712,0.5021364026208489
bit,97,0.8002320749272167,0.27774257695017174,0.5021364028299392
bit,98,0.8002320745627483,0.2777425773231881,0.5021364028299392
bit,99,0.8002320742415712,0.2777425776553163,0.5021364026208489
bit,100,0.8002320742415712,0.2777425776553163,0.5021364026208489
