pop_size,max_generations,mean_Nf,std_Nf,runs_solved,repetitions
50,50,1545.4,19.39690696992693,0,5
50,100,3039.8,28.84024965217881,0,5
50,200,6061.0,62.31211760163508,0,5
100,50,3101.8,29.09570415026933,0,5
100,100,6094.2,25.285569006846572,0,5
100,200,9830.0,1103.645414071023,5,5
225,50,6948.8,75.15690254394468,0,5
225,100,13479.4,242.30608741837256,2,5
225,200,14129.4,901.4336581246564,5,5
400,50,12363.4,77.71898095060176,0,5
400,100,19074.4,1141.4167687571442,5,5
400,200,19074.4,1141.4167687571442,5,5
