k,holdout_acc,cv5_mean,cv5_std
1,0.9333333333333333,0.96,0.024944382578492935
3,0.9555555555555556,0.9666666666666668,0.02108185106778919
5,0.9777777777777777,0.9733333333333334,0.02494438257849294
7,0.9555555555555556,0.9800000000000001,0.016329931618554516
9,0.9555555555555556,0.9733333333333334,0.02494438257849294
11,0.9333333333333333,0.9800000000000001,0.02666666666666666
15,0.9555555555555556,0.9666666666666668,0.029814239699997188
21,0.9555555555555556,0.9666666666666668,0.029814239699997188
