model,hyperparameter,holdout_acc,cv5_mean,cv5_std,leaves_or_k
kNN,k=7,0.9555555555555556,0.9800000000000001,0.016329931618554516,7
DecisionTree,max_depth=3,0.9777777777777777,0.9733333333333334,0.02494438257849294,5
