model,hyperparameter,internal_acc,internal_acc_sd,bigtest2_acc,bigtest2_acc_sd,mean_leaves
J48 decision tree,"M=2, pruned",0.9621583333333334,0.003517465034178244,0.9461078333333331,0.0020041792750816224,80.5
IBk kNN,"k=1, uniform weights",0.9837238333333334,0.0017099609839603801,0.9758818333333332,0.00124604677547294,
IBk kNN,"k=5, uniform weights",0.9838868333333334,0.001273238613405487,0.9754156666666667,0.0008876649518070619,
sklearn DecisionTree,"entropy, M=2",0.9593912760416666,0.004283723065844741,0.946739853626081,0.002436165699167096,101.5
