dataset,model,tool,n,n_correct,accuracy,ci_low,ci_high,ci_width_pp,wall_clock_s_incl_jvm
digits_internal,J48 M=2 (pruned),WEKA,2048,1982,0.9677734375,0.9592063013654607,0.9745890422091009,1.538274084364022,0.78
digits_internal,IBk k=1,WEKA,2048,2021,0.98681640625,0.9808862620396899,0.9909237145196399,1.0037452479950026,1.8
digits_internal,IBk k=5,WEKA,2048,2015,0.98388671875,0.9774579318231852,0.9885036396615648,1.104570783837966,2.06
digits_internal,IBk k=11,WEKA,2048,2012,0.982421875,0.9757613381035043,0.987276030843956,1.1514692740451693,2.25
digits_internal,"sklearn DT (entropy, M=2)",sklearn,2048,1981,0.96728515625,0.9586636685111675,0.9741569408842975,1.549327237313003,
digits_internal,sklearn kNN k=1,sklearn,2048,2022,0.9873046875,0.9814629763725276,0.9913217343658989,0.9858757993371325,
digits_internal,sklearn kNN k=5,sklearn,2048,2015,0.98388671875,0.9774579318231852,0.9885036396615648,1.104570783837966,
digits_bigtest2,J48 M=2 (pruned),WEKA,5010,4745,0.9471057884231537,0.9405584119129378,0.9529680461521606,1.240963423922281,0.91
digits_bigtest2,IBk k=1,WEKA,5010,4891,0.97624750499002,0.9716518555973624,0.9801133805380503,0.8461524940687859,3.74
digits_bigtest2,IBk k=5,WEKA,5010,4881,0.974251497005988,0.9694890690844613,0.9782872096488751,0.8798140564413748,4.48
digits_bigtest2,IBk k=11,WEKA,5010,4875,0.9730538922155688,0.9681947453298602,0.9771881589622303,0.8993413632370162,4.95
digits_bigtest2,"sklearn DT (entropy, M=2)",sklearn,5010,4740,0.9461077844311377,0.9395064193800338,0.9520255599840264,1.2519140603992618,
digits_bigtest2,sklearn kNN k=1,sklearn,5010,4886,0.975249500998004,0.9705695534490928,0.9792012039852818,0.8631650536188973,
digits_bigtest2,sklearn kNN k=5,sklearn,5010,4882,0.9744510978043912,0.9697050255393083,0.9784701489342356,0.8765123394927299,
circle,J48 xy,WEKA,100,88,0.88,0.8018790057328857,0.9300059356298052,12.812692989691943,
circle,J48 sq,WEKA,100,92,0.92,0.8500189229905127,0.9589065385156194,10.888761552510662,
circle,J48 zt,WEKA,100,88,0.88,0.8018790057328857,0.9300059356298052,12.812692989691943,
circle,J48 u,WEKA,100,100,1.0,0.9630065017930143,1.0,3.699349820698572,
