dataset,seed,noise_rate,ensemble_type,method,test_accuracy,test_f1_macro,test_balanced_accuracy,test_auc,train_accuracy,overfitting_gap,fit_time_ms,predict_time_ms,n_estimators,div_disagreement,div_q_statistic,div_double_fault,div_kappa,amb_avg_individual_error,amb_ensemble_error,amb_ambiguity
breast_cancer,42,0.0,homogeneous,bagging,0.9298245614035088,0.9250876168224299,0.9250876168224299,0.9782418224299065,0.992462311557789,0.06263775015428019,86.02927399988403,1.1707559997375938,10,0.11526965562053279,0.8062973201649516,0.043534762833008445,0.3651231833148001,0.10116959064327484,0.07017543859649122,0.030994152046783616
breast_cancer,42,0.0,homogeneous,random_forest,0.9532163742690059,0.9497354497354498,0.946918808411215,0.9765625,0.9949748743718593,0.041758500102853424,16.667926000081934,1.0833489996002754,10,0.11630929174788825,0.8023026148629956,0.04067576348278101,0.35007570012845624,0.09883040935672513,0.04678362573099415,0.05204678362573098
breast_cancer,42,0.0,homogeneous,adaboost,0.9298245614035088,0.9235469448584203,0.915668808411215,0.9894129672897196,0.9849246231155779,0.05510006171206916,36.878854999486066,0.9717470002215123,10,0.41780376868096175,0.026900070385234464,0.07238466536712153,0.019717838624635116,0.2812865497076023,0.05263157894736842,0.2286549707602339
breast_cancer,42,0.0,heterogeneous,hard_voting,0.9473684210526315,0.942866688940862,0.9359667056074766,,0.9748743718592965,0.02750595080666496,157.7512089997981,4.758850999678543,10,0.08771929824561402,0.877147830465417,0.03684210526315789,0.40598827454368625,0.08070175438596491,0.05263157894736842,0.028070175438596495
breast_cancer,42,0.0,heterogeneous,soft_voting,0.935672514619883,0.9306543778801843,0.9266209112149533,0.9908002336448598,0.9773869346733668,0.0417144200534838,203.2359920003728,10.90393899994524,10,0.08771929824561402,0.877147830465417,0.03684210526315789,0.40598827454368625,0.08070175438596491,0.05263157894736842,0.028070175438596495
breast_cancer,7,0.0,homogeneous,bagging,0.9590643274853801,0.9566947650229731,0.9610105140186915,0.9875146028037383,0.992462311557789,0.033397984072408904,55.755851999492734,1.5077859998200438,10,0.07420402858999348,0.8743775549138626,0.026640675763482786,0.373587387218583,0.06374269005847953,0.04093567251461988,0.02280701754385965
breast_cancer,7,0.0,homogeneous,random_forest,0.9473684210526315,0.9446343130553656,0.9516647196261683,0.9875146028037383,0.9949748743718593,0.04760645331922775,17.74567400025262,1.3129199996910756,10,0.10617283950617283,0.7107634566489701,0.025860948667966222,0.2897220884560451,0.07894736842105263,0.05263157894736842,0.02631578947368421
breast_cancer,7,0.0,homogeneous,adaboost,0.9649122807017544,0.962543808411215,0.962543808411215,0.9926255841121495,0.9798994974874372,0.014987216785682822,26.020608999715478,1.3647420000779675,10,0.3014944769330734,0.1391149493319147,0.045743989603638714,0.0759324951072274,0.19649122807017544,0.029239766081871343,0.1672514619883041
breast_cancer,7,0.0,heterogeneous,hard_voting,0.9707602339181286,0.9682592716338122,0.9609375,,0.964824120603015,-0.005936113315113567,180.64131000028283,4.899249000118289,10,0.07134502923976609,0.8359687699044992,0.02046783625730994,0.3065388750037762,0.05614035087719298,0.029239766081871343,0.026900584795321633
breast_cancer,7,0.0,heterogeneous,soft_voting,0.9649122807017544,0.962044983722995,0.9562646028037383,0.9967873831775701,0.9723618090452262,0.00744952834347179,192.551819000073,4.312121999646479,10,0.07134502923976609,0.8359687699044992,0.02046783625730994,0.3065388750037762,0.05614035087719298,0.029239766081871343,0.026900584795321633
