cluster,assigned_digit,n,corr_with_class_mean
0,0,537,0.9993334907913607
1,2,546,0.9993214267551672
2,5,627,0.9983090193149522
3,4,591,0.999759678263685
4,8,633,0.9970891080112327
5,1,550,0.9996682628131179
6,7,557,0.9994413931597962
7,6,588,0.9979813583629275
8,3,699,0.9985568365743922
9,9,696,0.9992440114930141
