centroid_index,centroid_x,centroid_y,n_assigned,closest_gaussian_mean,distance_to_closest_mean,distance_to_other_mean
0,2.78259352173913,2.9445091956521736,46,"(3.0, 3.0)",0.22437648307468164,5.850942066627094
1,7.184038518518518,7.77501,54,"(7.0, 7.0)",0.796561784420073,6.34877144214112
